Name,Lat,Lon,CDist
albury,-34.904450000000004,146.9936,18.967853134395277
badgeryscreek,-33.88283333333334,150.73530000000002,21.492873828269246
cobar,-32.1191,146.3359923076923,16.815451719945926
coffsharbour,-30.309866666666665,153.11163333333334,22.177270620837866
moree,-29.61015384615384,147.29103846153848,16.49004236580877
newcastle,-27.758699999999997,145.62794999999997,14.270712642243488
norahhead,-33.2814,151.5763,21.939710102510222
norfolkisland,-29.0436,167.952575,36.3062921152314
penrith,-33.7468,150.68553333333332,21.381860913377796
richmond,-34.41943333333333,147.67305,19.215499589246516
sydney,-33.860600000000005,151.17733750000002,21.865642409235228
sydneyairport,-33.9465,151.1731,21.90429465791558
waggawagga,-34.3021875,143.50455,15.950564665375335
williamtown,-32.798633333333335,151.83896666666666,21.955696038123634
wollongong,-34.42058,150.88255999999998,21.89319699597271
canberra,-35.29762,149.12483,20.906618287953915
tuggeranong,-35.4184,149.0937,20.952011486732946
mountginini,-35.5293,148.7721,20.758663856462167
ballarat,-37.54095,143.83433333333332,18.573460072661916
bendigo,-36.8648,144.3199666666667,18.371860935436946
sale,-38.1,147.05835000000002,21.148439417349206
melbourneairport,-37.6702,144.83705,19.3181216638805
melbourne,-37.76086,144.92192000000003,19.442232968703717
mildura,-34.21183333333334,142.15113333333332,14.948548410788176
nhil,-36.3085,141.7001,16.295629663587377
portland,-34.33525,145.03371666666666,17.096098405115715
watsonia,-37.7,145.0833,19.50321318116041
dartmoor,-37.93333,141.283333,10.590563663840733
brisbane,-27.47328,153.03122000000002,21.347175065658448
cairns,-16.920375,145.76029999999997,14.969580686517682
goldcoast,-27.939,153.4283,21.83416228903205
townsville,-19.345757142857146,146.67232857142858,15.020061271869013
adelaide,-31.687095454545453,137.85015681818183,10.302152821792411
mountgambier,-37.8121,140.771275,17.046109376644104
nuriootpa,-34.47506,138.99909999999997,13.272222467821603
woomera,-31.04468888888889,138.55471111111112,10.202336322864287
albany,-29.618780000000005,122.47976,11.639110241322964
witchcliffe,-34.02695,115.08395,20.241433583728426
pearceraaf,-31.6669,116.0189,18.24229532101673
perthairport,-31.93155,115.97015,18.410609713317182
perth,-33.54355384615384,123.28707692307694,13.673922729175661
salmongums,-32.99073333333333,121.5674,14.461537356725481
walpole,-34.9347,116.72353333333332,19.419776963114188
hobart,-42.87898333333333,147.355475,24.945196837462692
launceston,-41.46160833333333,147.16270833333334,23.715376564792543
alicesprings,-23.712942857142856,133.8517857142857,1.81896534870037
darwin,-12.482188235294116,130.87707647058824,10.708422457446284
katherine,-14.465475,132.2546375,8.652042448486961
uluru,-25.3602,131.0196,2.504762430848284
